feature,importance
performance_score,0.5663193288597986
task_completion_time,0.2557694248464968
physiology_score,0.05361692385169596
path_efficiency,0.025620772231300368
success_rate,0.019199075066322752
agency_score,0.01869375917967448
error_rate,0.012521639477085277
tracking_error,0.01034653992120698
latency_ms,0.006721919491873562
presence_score,0.0058557955032143266
system_score,0.004664051334889382
heart_rate,0.004326972816325377
jitter,0.0025205074795748112
packet_loss,0.0024495726664481815
fps,0.002407364008783375
workload_score,0.002311700495832824
mental_demand,0.0015480586376576473
gsr,0.0011130092847863441
eda,0.0010644294782747887
nasa_tlx_total,0.0009890985231255723
frustration,0.0008525335614953647
effort,0.00039036682698437574
temporal_demand,0.00032189753323814057
physical_demand,0.0002820377622898159
skin_temp,9.322116162492008e-05
hrv,0.0
