feature,coefficient
system_score,1.2644040021424123
agency_score,0.6425795289658518
presence_score,0.3915769230770137
workload_score,0.36620449676119526
success_rate,0.30560581250802665
path_efficiency,0.29372144269498324
physiology_score,0.2689056447225087
performance_score,0.21965081689341162
error_rate,0.18809928631053077
tracking_error,0.11174654498705627
nasa_tlx_total,-0.05060975683835818
skin_temp,-0.02333255551916065
physical_demand,0.021278115296489555
frustration,0.017421943521574702
mental_demand,0.014889639239650443
temporal_demand,0.012882827129469948
eda,0.00877449192231343
gsr,0.008774491922313228
fps,-0.0068868088671308406
heart_rate,0.005890570895482207
effort,0.005860346401504222
jitter,0.00566621388724918
task_completion_time,-0.0004372431330208727
latency_ms,0.00036554851197543274
packet_loss,9.306498469048201e-05
hrv,1.7633464133304244e-15
intercept,-1.3274968337807849
r2,0.8538964438541972
